Phylo,Family,Order,Scientific_name,Mass
Accipiter_rufiventris,Accipitridae,Accipitriformes,Accipiter rufiventris,198
Zosterops_atriceps,Zosteropidae,Passeriformes,Zosterops atriceps,12
Alcippe_brunnea,Timaliidae,Passeriformes,Alcippe brunnea,17.4
Bradypterus_major,Sylviidae,Passeriformes,Bradypterus major,13
Pipraeidea_melanonota,Thraupidae,Passeriformes,Pipraeidea melanonota,21
Lewinia_mirifica,Rallidae,Gruiformes,Lewinia mirifica,68
Locustella_pleskei,Sylviidae,Passeriformes,Locustella pleskei,20
Charmosyna_pulchella,Psittacidae,Psittaciformes,Charmosyna pulchella,34.1
Picumnus_varzeae,Picidae,Piciformes,Picumnus varzeae,11.5
Zosterops_sanctaecrucis,Zosteropidae,Passeriformes,Zosterops sanctaecrucis,14
Ploceus_katangae,Ploceidae,Passeriformes,Ploceus katangae,18.5
Psarocolius_bifasciatus,Icteridae,Passeriformes,Psarocolius bifasciatus,335.7
Crax_daubentoni,Cracidae,Galliformes,Crax daubentoni,2499.9
Ploceus_melanogaster,Ploceidae,Passeriformes,Ploceus melanogaster,22.4
Lophornis_adorabilis,Trochilidae,Apodiformes,Lophornis adorabilis,2.7
Lamprotornis_pulcher,Sturnidae,Passeriformes,Lamprotornis pulcher,67.3
Aethopyga_duyvenbodei,Nectariniidae,Passeriformes,Aethopyga duyvenbodei,6
Procellaria_westlandica,Procellariidae,Procellariiformes,Procellaria westlandica,1199
Bangsia_rothschildi,Thraupidae,Passeriformes,Bangsia rothschildi,48.5
Pygoscelis_papua,Spheniscidae,Sphenisciformes,Pygoscelis papua,5933
Gymnorhina_tibicen,Cracticidae,Passeriformes,Gymnorhina tibicen,284.9
Formicarius_moniliger,Formicariidae,Passeriformes,Formicarius moniliger,61.9
Aratinga_rubritorquis,Psittacidae,Psittaciformes,Aratinga rubritorquis,212
Nucifraga_caryocatactes,Corvidae,Passeriformes,Nucifraga caryocatactes,182.5
Pachycephala_hypoxantha,Pachycephalidae,Passeriformes,Pachycephala hypoxantha,22.3
Glaucidium_nanum,Strigidae,Strigiformes,Glaucidium nanum,73.7
Icterus_chrysater,Icteridae,Passeriformes,Icterus chrysater,53.4
Sporophila_plumbea,Emberizidae,Passeriformes,Sporophila plumbea,9.7
Myadestes_palmeri,Turdidae,Passeriformes,Myadestes palmeri,39.6
Machaeropterus_regulus,Pipridae,Passeriformes,Machaeropterus regulus,9.3
Aprosmictus_jonquillaceus,Psittacidae,Psittaciformes,Aprosmictus jonquillaceus,119
Cochoa_beccarii,Turdidae,Passeriformes,Cochoa beccarii,111.5
Alisterus_scapularis,Psittacidae,Psittaciformes,Alisterus scapularis,232.3
Tringa_nebularia,Scolopacidae,Charadriiformes,Tringa nebularia,187
Prionops_retzii,Malaconotidae,Passeriformes,Prionops retzii,50.1
Syrmaticus_soemmerringii,Phasianidae,Galliformes,Syrmaticus soemmerringii,1081.7
Carduelis_chloris,Fringillidae,Passeriformes,Carduelis chloris,26
Eupherusa_cyanophrys,Trochilidae,Apodiformes,Eupherusa cyanophrys,4.8
Euplectes_jacksoni,Ploceidae,Passeriformes,Euplectes jacksoni,37
Monarcha_manadensis,Monarchidae,Passeriformes,Monarcha manadensis,22.5
Scelorchilus_rubecula,Rhinocryptidae,Passeriformes,Scelorchilus rubecula,56.7
Megalaima_henricii,Ramphastidae,Piciformes,Megalaima henricii,74.1
Orthogonys_chloricterus,Thraupidae,Passeriformes,Orthogonys chloricterus,39
Bulweria_bulwerii,Procellariidae,Procellariiformes,Bulweria bulwerii,99
Telophorus_bocagei,Malaconotidae,Passeriformes,Telophorus bocagei,27
Gyps_rueppellii,Accipitridae,Accipitriformes,Gyps rueppellii,7400
Phylloscopus_makirensis,Sylviidae,Passeriformes,Phylloscopus makirensis,9.2
Strix_varia,Strigidae,Strigiformes,Strix varia,711.5
Myiodynastes_maculatus,Tyrannidae,Passeriformes,Myiodynastes maculatus,43.2
Cercomacra_tyrannina,Thamnophilidae,Passeriformes,Cercomacra tyrannina,16.3
Odontophorus_gujanensis,Odontophoridae,Galliformes,Odontophorus gujanensis,314.1
Nyctibius_maculosus,Nyctibiidae,Caprimulgiformes,Nyctibius maculosus,170.3
Zosterops_conspicillatus,Zosteropidae,Passeriformes,Zosterops conspicillatus,7.9
