Phylo,Family,Order,Scientific_name,Mass
Lipaugus_weberi,Cotingidae,Passeriformes,Lipaugus weberi,72.1
Oxyruncus_cristatus,Cotingidae,Passeriformes,Oxyruncus cristatus,42
Pachyramphus_aglaiae,Cotingidae,Passeriformes,Pachyramphus aglaiae,29.7
Pachyramphus_albogriseus,Cotingidae,Passeriformes,Pachyramphus albogriseus,17.3
Pachyramphus_castaneus,Cotingidae,Passeriformes,Pachyramphus castaneus,19.5
Pachyramphus_cinnamomeus,Cotingidae,Passeriformes,Pachyramphus cinnamomeus,20.3
Pachyramphus_homochrous,Cotingidae,Passeriformes,Pachyramphus homochrous,37.3
Pachyramphus_major,Cotingidae,Passeriformes,Pachyramphus major,24.8
Pachyramphus_marginatus,Cotingidae,Passeriformes,Pachyramphus marginatus,18.4
Pachyramphus_minor,Cotingidae,Passeriformes,Pachyramphus minor,36.6
Pachyramphus_niger,Cotingidae,Passeriformes,Pachyramphus niger,40.2
Pachyramphus_polychopterus,Cotingidae,Passeriformes,Pachyramphus polychopterus,20.8
Pachyramphus_rufus,Cotingidae,Passeriformes,Pachyramphus rufus,18.8
Pachyramphus_spodiurus,Cotingidae,Passeriformes,Pachyramphus spodiurus,18.2
Pachyramphus_surinamus,Cotingidae,Passeriformes,Pachyramphus surinamus,19.7
Pachyramphus_validus,Cotingidae,Passeriformes,Pachyramphus validus,43
Pachyramphus_versicolor,Cotingidae,Passeriformes,Pachyramphus versicolor,15.5
Pachyramphus_viridis,Cotingidae,Passeriformes,Pachyramphus viridis,21
Pachyramphus_xanthogenys,Cotingidae,Passeriformes,Pachyramphus xanthogenys,21
Perissocephalus_tricolor,Cotingidae,Passeriformes,Perissocephalus tricolor,338.9
Phibalura_flavirostris,Cotingidae,Passeriformes,Phibalura flavirostris,46.5
Phoenicircus_carnifex,Cotingidae,Passeriformes,Phoenicircus carnifex,82.9
Phoenicircus_nigricollis,Cotingidae,Passeriformes,Phoenicircus nigricollis,96.3
Phytotoma_raimondii,Cotingidae,Passeriformes,Phytotoma raimondii,39.8
Phytotoma_rara,Cotingidae,Passeriformes,Phytotoma rara,47
Phytotoma_rutila,Cotingidae,Passeriformes,Phytotoma rutila,40.5
Pipreola_arcuata,Cotingidae,Passeriformes,Pipreola arcuata,118
Pipreola_aureopectus,Cotingidae,Passeriformes,Pipreola aureopectus,46
Pipreola_chlorolepidota,Cotingidae,Passeriformes,Pipreola chlorolepidota,29.5
Pipreola_formosa,Cotingidae,Passeriformes,Pipreola formosa,47.2
Pipreola_frontalis,Cotingidae,Passeriformes,Pipreola frontalis,42.4
Pipreola_intermedia,Cotingidae,Passeriformes,Pipreola intermedia,51.2
Pipreola_jucunda,Cotingidae,Passeriformes,Pipreola jucunda,57
Pipreola_lubomirskii,Cotingidae,Passeriformes,Pipreola lubomirskii,57
Pipreola_pulchra,Cotingidae,Passeriformes,Pipreola pulchra,58.2
Pipreola_riefferii,Cotingidae,Passeriformes,Pipreola riefferii,49.3
Pipreola_whitelyi,Cotingidae,Passeriformes,Pipreola whitelyi,50
Porphyrolaema_porphyrolaema,Cotingidae,Passeriformes,Porphyrolaema porphyrolaema,60
Procnias_albus,Cotingidae,Passeriformes,Procnias albus,210
Procnias_averano,Cotingidae,Passeriformes,Procnias averano,146.1
Procnias_nudicollis,Cotingidae,Passeriformes,Procnias nudicollis,172
Procnias_tricarunculatus,Cotingidae,Passeriformes,Procnias tricarunculatus,210
Pyroderus_scutatus,Cotingidae,Passeriformes,Pyroderus scutatus,357
Querula_purpurata,Cotingidae,Passeriformes,Querula purpurata,107.4
Rupicola_peruvianus,Cotingidae,Passeriformes,Rupicola peruvianus,242.5
Rupicola_rupicola,Cotingidae,Passeriformes,Rupicola rupicola,194.6
Schiffornis_major,Cotingidae,Passeriformes,Schiffornis major,31
Schiffornis_turdina,Cotingidae,Passeriformes,Schiffornis turdina,31.7
Schiffornis_virescens,Cotingidae,Passeriformes,Schiffornis virescens,25.6
Snowornis_cryptolophus,Cotingidae,Passeriformes,Snowornis cryptolophus,73.6
Snowornis_subalaris,Cotingidae,Passeriformes,Snowornis subalaris,81.2
Tijuca_atra,Cotingidae,Passeriformes,Tijuca atra,129
Tijuca_condita,Cotingidae,Passeriformes,Tijuca condita,80
Tityra_cayana,Cotingidae,Passeriformes,Tityra cayana,68.1
Tityra_inquisitor,Cotingidae,Passeriformes,Tityra inquisitor,43.1
Tityra_semifasciata,Cotingidae,Passeriformes,Tityra semifasciata,79.3
Xenopsaris_albinucha,Cotingidae,Passeriformes,Xenopsaris albinucha,10
Xipholena_atropurpurea,Cotingidae,Passeriformes,Xipholena atropurpurea,61.3
Xipholena_lamellipennis,Cotingidae,Passeriformes,Xipholena lamellipennis,53.8
Xipholena_punicea,Cotingidae,Passeriformes,Xipholena punicea,68.1
Zaratornis_stresemanni,Cotingidae,Passeriformes,Zaratornis stresemanni,52.1
Cracticus_cassicus,Cracticidae,Passeriformes,Cracticus cassicus,142
Cracticus_louisiadensis,Cracticidae,Passeriformes,Cracticus louisiadensis,142
Cracticus_mentalis,Cracticidae,Passeriformes,Cracticus mentalis,77
Cracticus_nigrogularis,Cracticidae,Passeriformes,Cracticus nigrogularis,128
Cracticus_quoyi,Cracticidae,Passeriformes,Cracticus quoyi,168
Cracticus_torquatus,Cracticidae,Passeriformes,Cracticus torquatus,82.9
Gymnorhina_tibicen,Cracticidae,Passeriformes,Gymnorhina tibicen,284.9
Peltops_blainvillii,Cracticidae,Passeriformes,Peltops blainvillii,30
Peltops_montanus,Cracticidae,Passeriformes,Peltops montanus,31.6
Strepera_fuliginosa,Cracticidae,Passeriformes,Strepera fuliginosa,375.5
Strepera_graculina,Cracticidae,Passeriformes,Strepera graculina,298.9
Strepera_versicolor,Cracticidae,Passeriformes,Strepera versicolor,395.5
Dasyornis_brachypterus,Dasyornithidae,Passeriformes,Dasyornis brachypterus,41.8
Dasyornis_broadbenti,Dasyornithidae,Passeriformes,Dasyornis broadbenti,67.9
Dasyornis_longirostris,Dasyornithidae,Passeriformes,Dasyornis longirostris,32.7
Campylorhamphus_falcularius,Dendrocolaptidae,Passeriformes,Campylorhamphus falcularius,42.6
Campylorhamphus_procurvoides,Dendrocolaptidae,Passeriformes,Campylorhamphus procurvoides,33.5
Campylorhamphus_pucherani,Dendrocolaptidae,Passeriformes,Campylorhamphus pucherani,70.5
Campylorhamphus_pusillus,Dendrocolaptidae,Passeriformes,Campylorhamphus pusillus,40.5
Campylorhamphus_trochilirostris,Dendrocolaptidae,Passeriformes,Campylorhamphus trochilirostris,40.8
Deconychura_longicauda,Dendrocolaptidae,Passeriformes,Deconychura longicauda,23.8
Deconychura_stictolaema,Dendrocolaptidae,Passeriformes,Deconychura stictolaema,18.5
Dendrexetastes_rufigula,Dendrocolaptidae,Passeriformes,Dendrexetastes rufigula,69.6
Dendrocincla_anabatina,Dendrocolaptidae,Passeriformes,Dendrocincla anabatina,34.2
Dendrocincla_fuliginosa,Dendrocolaptidae,Passeriformes,Dendrocincla fuliginosa,38.7
Dendrocincla_homochroa,Dendrocolaptidae,Passeriformes,Dendrocincla homochroa,39.4
Dendrocincla_merula,Dendrocolaptidae,Passeriformes,Dendrocincla merula,50
Dendrocincla_tyrannina,Dendrocolaptidae,Passeriformes,Dendrocincla tyrannina,54.9
Dendrocolaptes_certhia,Dendrocolaptidae,Passeriformes,Dendrocolaptes certhia,68.7
Dendrocolaptes_hoffmannsi,Dendrocolaptidae,Passeriformes,Dendrocolaptes hoffmannsi,83
Dendrocolaptes_picumnus,Dendrocolaptidae,Passeriformes,Dendrocolaptes picumnus,76.6
Dendrocolaptes_platyrostris,Dendrocolaptidae,Passeriformes,Dendrocolaptes platyrostris,61.7
Dendrocolaptes_sanctithomae,Dendrocolaptidae,Passeriformes,Dendrocolaptes sanctithomae,66.9
Dendroplex_kienerii,Dendrocolaptidae,Passeriformes,Dendroplex kienerii,45
Dendroplex_picus,Dendrocolaptidae,Passeriformes,Dendroplex picus,41.3
Drymornis_bridgesii,Dendrocolaptidae,Passeriformes,Drymornis bridgesii,92.6
