Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Lipaugus_streptophorus,Cotingidae,Passeriformes,Lipaugus streptophorus,22.7,13.8,8.6,7.3,20.2,125,26.8,98.2,21.4,95.8,57.2,Forest,1,1,Herbivore,Frugivore,Insessorial,4.49,6.01,5.26,-61.2,47371.38,Extant
Lipaugus_unirufus,Cotingidae,Passeriformes,Lipaugus unirufus,24,15,7.2,8.1,21.2,132.4,26.8,103.9,20.4,112,82.1,Forest,1,1,Omnivore,Frugivore,Insessorial,0.07,18.45,11.43,-83.42,462431.54,Extant
Lipaugus_uropygialis,Cotingidae,Passeriformes,Lipaugus uropygialis,28.4,15.9,8.4,9.2,29.6,139.6,15.7,123.9,11.3,143.7,116,Forest,1,1,Omnivore,Frugivore,Insessorial,-17.81,-12.04,-15.6,-67.92,15254.67,Extant
Lipaugus_vociferans,Cotingidae,Passeriformes,Lipaugus vociferans,26.9,13.8,8,7.3,21.4,123.1,20.9,102.1,16.9,110.2,75.4,Forest,1,1,Omnivore,Frugivore,Insessorial,-20.88,10.58,-4.6,-61.63,7063057.92,Extant
Lipaugus_weberi,Cotingidae,Passeriformes,Lipaugus weberi,22.2,13.9,7,7.1,22.5,127.8,27,100.8,21,106.9,72.1,Forest,1,1,Herbivore,Frugivore,Insessorial,6.88,7.13,6.96,-75.07,41.87,Extant
Oxyruncus_cristatus,Cotingidae,Passeriformes,Oxyruncus cristatus,17.9,11.3,5.5,5.6,20.7,92.2,24,67.2,26.3,64.3,42,Forest,1,1,Herbivore,Frugivore,Insessorial,-27.06,11,-10.17,-53.72,1872045.95,Extant
Pachyramphus_aglaiae,Cotingidae,Passeriformes,Pachyramphus aglaiae,16.9,11.3,7.1,6.6,19.7,86,17.4,68.9,20.1,66.2,29.7,Forest,1,2,Omnivore,Omnivore,Insessorial,7.22,32.02,19.64,-96.6,1314371.45,Extant
Pachyramphus_albogriseus,Cotingidae,Passeriformes,Pachyramphus albogriseus,15.6,9.9,7.1,5.5,17.7,71.2,18.3,52.9,25.7,54,17.3,Forest,1,1,Omnivore,Omnivore,Insessorial,-12.53,11.19,-0.74,-76.74,341646.91,Extant
Pachyramphus_castaneus,Cotingidae,Passeriformes,Pachyramphus castaneus,14.3,9.6,6.2,5.1,18.3,74.1,14,62.4,18.3,59.9,19.5,Forest,1,1,Carnivore,Invertivore,Insessorial,-29.45,11.2,-10.55,-58.67,5788367.53,Extant
Pachyramphus_cinnamomeus,Cotingidae,Passeriformes,Pachyramphus cinnamomeus,16.8,10.6,7.6,5.6,19.7,77,16.1,61.5,20.7,59.4,20.3,Forest,1,1,Carnivore,Invertivore,Insessorial,-3.73,17.81,9.82,-80.11,701563.57,Extant
Pachyramphus_homochrous,Cotingidae,Passeriformes,Pachyramphus homochrous,19.4,13.3,7.7,7.4,20.6,87.5,18,69.5,20.6,71.2,37.3,Forest,1,2,Omnivore,Omnivore,Insessorial,-4.82,11.49,5.68,-76.34,370203.78,Extant
Pachyramphus_major,Cotingidae,Passeriformes,Pachyramphus major,15.8,10.8,7.2,6.2,19.5,81.8,20.7,60,25.6,63.6,24.8,Forest,2,3,Omnivore,Omnivore,Insessorial,12.99,29.14,19.3,-95.33,555625.41,Extant
Pachyramphus_marginatus,Cotingidae,Passeriformes,Pachyramphus marginatus,14.7,10.1,6.9,5.2,18.5,67.7,15,53.7,21.8,50.4,18.4,Forest,1,1,Omnivore,Omnivore,Insessorial,-24.96,8.35,-4.48,-62.18,6344951.42,Extant
Pachyramphus_minor,Cotingidae,Passeriformes,Pachyramphus minor,19.3,13.5,8.4,7.6,20.9,89.2,18,71,20.3,65.1,36.6,Forest,1,2,Omnivore,Omnivore,Insessorial,-18.32,8.56,-4.7,-62.06,6895984.62,Extant
Pachyramphus_niger,Cotingidae,Passeriformes,Pachyramphus niger,20.5,13.7,8.4,7.4,23.8,99.2,16.5,82,16.7,76.4,40.2,Forest,2,2,Omnivore,Omnivore,Insessorial,17.7,18.53,18.16,-77.31,11021.79,Extant
Pachyramphus_polychopterus,Cotingidae,Passeriformes,Pachyramphus polychopterus,14.9,10.4,7,5.7,18.7,72,16.4,58.5,21.8,55.7,20.8,Forest,2,1,Omnivore,Invertivore,Insessorial,-35.01,16.68,-9.65,-58.37,13935213.9,Extant
Pachyramphus_rufus,Cotingidae,Passeriformes,Pachyramphus rufus,14.6,10,6.6,5.4,17.5,67.6,14.2,54,20.8,48.4,18.8,Forest,2,1,Carnivore,Invertivore,Insessorial,-9.76,12.64,0.03,-61.5,3994359.03,Extant
Pachyramphus_spodiurus,Cotingidae,Passeriformes,Pachyramphus spodiurus,15.9,10.7,6.9,5.5,18.9,75.2,16.8,58.8,22.2,59,18.2,Woodland,2,1,Carnivore,Invertivore,Insessorial,-5.74,1.27,-1.94,-79.76,40652.05,Extant
Pachyramphus_surinamus,Cotingidae,Passeriformes,Pachyramphus surinamus,16.5,12.1,7.1,5.6,18.8,77.5,17.8,59.7,22.9,54.2,19.7,Forest,1,2,Carnivore,Invertivore,Insessorial,-4.02,7.73,0.73,-56.4,707437.36,Extant
Pachyramphus_validus,Cotingidae,Passeriformes,Pachyramphus validus,19.3,13.8,8.6,7.8,19.8,95.5,20.8,74.3,21.8,68.1,43,Forest,2,3,Carnivore,Invertivore,Insessorial,-31.74,0.34,-15.66,-50.38,6063334.02,Extant
Pachyramphus_versicolor,Cotingidae,Passeriformes,Pachyramphus versicolor,12.6,7.4,5.2,4.4,16.2,64.6,13.5,52.1,20.6,51.7,15.5,Forest,1,1,Carnivore,Invertivore,Insessorial,-17.89,10.92,-1.66,-75.57,302157.64,Extant
Pachyramphus_viridis,Cotingidae,Passeriformes,Pachyramphus viridis,14.5,9.9,6.6,5.5,17.6,71.2,13.8,57.2,19.5,55.2,21,Forest,2,2,Carnivore,Invertivore,Insessorial,-32.34,8.06,-17.75,-49.92,5098620.61,Extant
Pachyramphus_xanthogenys,Cotingidae,Passeriformes,Pachyramphus xanthogenys,15.2,9.8,6.8,5.3,17.5,72.5,17.4,55,24.1,51.8,21,Forest,1,2,Carnivore,Invertivore,Insessorial,-13.63,0.97,-7.95,-75.18,63012.14,Extant
Perissocephalus_tricolor,Cotingidae,Passeriformes,Perissocephalus tricolor,47.7,29.3,15.5,15.1,40.1,211,31.4,179.8,14.9,112.6,338.9,Forest,1,1,Herbivore,Frugivore,Insessorial,-3.34,8.26,2.29,-59.02,1655180.77,Extant
Phibalura_flavirostris,Cotingidae,Passeriformes,Phibalura flavirostris,13.3,9,6.4,5.9,18.7,98.5,32.3,66.2,32.8,103.9,46.5,Forest,2,3,Herbivore,Frugivore,Insessorial,-32.81,-12.91,-23.38,-48.43,1085140.75,Extant
Phoenicircus_carnifex,Cotingidae,Passeriformes,Phoenicircus carnifex,19.9,9.2,5.9,6.4,25.2,101.1,9.3,93.1,9.1,85.8,82.9,Forest,1,1,Herbivore,Frugivore,Insessorial,-5.04,7.41,0.54,-54.84,1387247.24,Extant
Phoenicircus_nigricollis,Cotingidae,Passeriformes,Phoenicircus nigricollis,22.2,11.4,5.5,6.9,26.2,101.2,9.8,91.4,9.7,81.8,96.3,Forest,1,1,Herbivore,Frugivore,Insessorial,-11.98,1.93,-4.37,-66.45,2636332.67,Extant
Phytotoma_raimondii,Cotingidae,Passeriformes,Phytotoma raimondii,18.8,10.1,7.3,8.1,24.5,89.3,11.6,75.7,12.9,87.3,39.8,Woodland,2,1,Herbivore,Herbivore terrestrial,Insessorial,-10.44,-3.67,-6.06,-80.1,2921.02,Extant
Phytotoma_rara,Cotingidae,Passeriformes,Phytotoma rara,17.6,10.2,7.7,8.6,24.4,88.9,15.1,73,17.1,79.6,47,Shrubland,2,1,Herbivore,Herbivore terrestrial,Insessorial,-53.31,-27.29,-41.84,-71.82,478077.69,Extant
Phytotoma_rutila,Cotingidae,Passeriformes,Phytotoma rutila,15.5,8.8,6.4,7.1,22.2,86.5,14.7,72,16.9,90.6,40.5,Shrubland,2,1,Herbivore,Herbivore terrestrial,Insessorial,-43.96,-16.09,-31.76,-63.02,1756370.23,Extant
Pipreola_arcuata,Cotingidae,Passeriformes,Pipreola arcuata,24.8,10.2,6.2,6.5,28.1,123.4,23.1,100,18.7,98.8,118,Forest,1,1,Herbivore,Frugivore,Insessorial,-17.93,10.92,-3.81,-74.19,259332.07,Extant
Pipreola_aureopectus,Cotingidae,Passeriformes,Pipreola aureopectus,15.6,8,5.2,4.8,20.8,88.7,19,71.1,21,72.8,46,Forest,1,1,Herbivore,Frugivore,Insessorial,1.27,11.12,6.94,-74.1,83804.89,Extant
