"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"48","Grallaria_rufocinerea","Formicariidae","Passeriformes","Grallaria_rufocinerea",20.5,12.2,4.9,6.1,43,87.3,6.3,80.4,7.3,47.3,44.8,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",0.47,6.42,3.21,-76.12,9572.87,"Extant"
"49","Grallaria_rufula","Formicariidae","Passeriformes","Grallaria_rufula",23.9,11.5,4.8,5.5,43.1,80,6.4,75.2,7.8,41.8,35.7,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-17.29,11.13,-3.98,-75.04,239251.68,"Extant"
"50","Grallaria_squamigera","Formicariidae","Passeriformes","Grallaria_squamigera",36.7,20.5,8.2,10.7,57,140.2,22.8,119.8,16,64,136,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-17.7,9.98,-5.07,-75.3,269461.89,"Extant"
"51","Grallaria_varia","Formicariidae","Passeriformes","Grallaria_varia",28.5,17.6,8.3,10.4,50.8,119.2,9.8,104.5,8.4,48.9,119,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-30.06,6.37,-8.82,-54.4,3247752.05,"Extant"
"52","Grallaria_watkinsi","Formicariidae","Passeriformes","Grallaria_watkinsi",27.1,17.1,6.5,7.9,51.9,90.8,5.2,85,5.9,47.9,69.8,"Woodland",2,1,"Carnivore","Invertivore","Terrestrial",-4.51,-1.09,-3.36,-80.14,16613.44,"Extant"
"53","Grallaricula_cucullata","Formicariidae","Passeriformes","Grallaricula_cucullata",14.1,8.7,5,4.9,23.5,66.5,7.6,58.1,11.5,32.9,19.3,"Forest",1,1,"Carnivore","Invertivore","Insessorial",1.31,7.85,4.24,-75.16,15456.86,"Extant"
"54","Grallaricula_ferrugineipectus","Formicariidae","Passeriformes","Grallaricula_ferrugineipectus",17.2,8.9,4.8,4.4,25.7,70.9,9.3,65.1,12.5,38.2,17.2,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-16.73,11.13,-1.33,-72.94,140841.21,"Extant"
"55","Grallaricula_flavirostris","Formicariidae","Passeriformes","Grallaricula_flavirostris",18.5,9.2,5.6,4.8,21.6,65.1,10.6,56.3,15.9,27.2,17.7,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-18.04,10.49,-7.15,-73.48,208413.71,"Extant"
"56","Grallaricula_lineifrons","Formicariidae","Passeriformes","Grallaricula_lineifrons",14,8,4.8,4.4,28.1,75.7,8.3,67.7,10.9,40.4,21.1,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-3.72,4.42,0.88,-77.22,14344.41,"Extant"
"57","Grallaricula_loricata","Formicariidae","Passeriformes","Grallaricula_loricata",15.8,9.1,5.5,4.9,23.6,67.2,11.2,54.8,17,32,20.7,"Forest",1,1,"Carnivore","Invertivore","Insessorial",10.01,10.68,10.33,-68.22,11269.04,"Extant"
"58","Grallaricula_nana","Formicariidae","Passeriformes","Grallaricula_nana",17,8.9,4.8,4.6,27.5,67.1,7.9,59.2,11.9,34.7,19.8,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-6.84,10.73,3.42,-73.98,271203.86,"Extant"
"59","Grallaricula_ochraceifrons","Formicariidae","Passeriformes","Grallaricula_ochraceifrons",17.1,9.6,5.3,5.2,27.4,72.8,8.6,64.2,11.5,33.5,23.1,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-5.82,-5.35,-5.59,-78.13,1217.58,"Extant"
"60","Grallaricula_peruviana","Formicariidae","Passeriformes","Grallaricula_peruviana",15.7,9.2,5.3,5.1,25.3,71.3,9.8,61.2,13.8,32.1,18.8,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-5.52,0.36,-3,-78.52,23119.76,"Extant"
"61","Hylopezus_auricularis","Formicariidae","Passeriformes","Hylopezus_auricularis",23.4,13.7,5.2,6.1,39.2,88,8.2,79.8,9.4,38.8,40.4,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-11.12,-10.93,-11.03,-66.15,185.14,"Extant"
"62","Hylopezus_berlepschi","Formicariidae","Passeriformes","Hylopezus_berlepschi",21.4,13.1,5.6,5.9,38.3,81.2,4.9,78.5,5.8,38.2,48,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-17.37,-1.88,-9.76,-63.32,1422657.01,"Extant"
"63","Hylopezus_dives","Formicariidae","Passeriformes","Hylopezus_dives",20.8,12.6,5.2,5.3,36.4,75.4,5.7,73.1,7.2,34.1,44,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",1.21,15.77,9.25,-81,179845.91,"Extant"
"64","Hylopezus_fulviventris","Formicariidae","Passeriformes","Hylopezus_fulviventris",22,13,5.4,6,36.1,77.3,9.8,71.4,12.3,34.2,41,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-5,1.27,-2.36,-75.74,252414.72,"Extant"
