"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"623","Myrmeciza_berlepschi","Thamnophilidae","Passeriformes","Myrmeciza_berlepschi",21.5,12.6,5.1,5.5,25.6,64.3,5.2,58.4,8.2,43.9,25.6,"Forest",1,1,"Carnivore","Invertivore","Generalist",0.54,6.55,3.42,-77.64,55751.32,"Extant"
"624","Myrmeciza_castanea","Thamnophilidae","Passeriformes","Myrmeciza_castanea",15.9,9.1,3.8,3.9,24.1,56.7,4.2,53,7.3,40.7,16,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-5.04,0.98,-2.64,-76.34,211133.72,"Extant"
"625","Myrmeciza_disjuncta","Thamnophilidae","Passeriformes","Myrmeciza_disjuncta",18.6,12,4,4.1,24.7,58,5.2,53.1,9.2,48.3,15,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-2.18,4.14,2.25,-66.09,42618.45,"Extant"
"626","Myrmeciza_exsul","Thamnophilidae","Passeriformes","Myrmeciza_exsul",21,12.2,5,5.1,28.5,65.9,4.9,60.6,7.3,47.1,26.5,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-3.58,15.88,7.79,-79.6,357249.38,"Extant"
"627","Myrmeciza_ferruginea","Thamnophilidae","Passeriformes","Myrmeciza_ferruginea",21.7,12,4.6,4.7,26.6,66.4,5.1,61.6,7.6,58.3,26.1,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-10.2,8.48,-0.08,-57.09,1314073.16,"Extant"
"628","Myrmeciza_fortis","Thamnophilidae","Passeriformes","Myrmeciza_fortis",23.2,13.6,5.4,6.6,34.1,81.5,9,74.4,10.7,62.9,45.9,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-13.93,2.3,-5.19,-70.92,1945728.92,"Extant"
"629","Myrmeciza_goeldii","Thamnophilidae","Passeriformes","Myrmeciza_goeldii",24.4,13.6,5.3,6.3,33.8,87.4,9.8,79.1,11.2,69.2,42,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-14.02,-8.18,-10.57,-70.04,342175.6,"Extant"
"630","Myrmeciza_griseiceps","Thamnophilidae","Passeriformes","Myrmeciza_griseiceps",18,10.6,3.9,3.6,23.5,59.3,5.8,55.7,9.3,56.2,15,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-5.97,-3.57,-4.63,-79.75,17850.65,"Extant"
"631","Myrmeciza_hemimelaena","Thamnophilidae","Passeriformes","Myrmeciza_hemimelaena",16.5,9.1,3.9,3.8,23.4,54.6,7,47.9,12.8,37.5,16,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-17.12,-1.93,-9.28,-65.12,2503854.83,"Extant"
"632","Myrmeciza_hyperythra","Thamnophilidae","Passeriformes","Myrmeciza_hyperythra",24.9,14.4,5.3,6.2,29.2,76.8,4.6,73.2,6.1,56.2,41,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-16.04,1.37,-7.11,-69.64,1642348.58,"Extant"
