"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"11","Alisterus_amboinensis","Psittacidae","Psittaciformes","Alisterus_amboinensis",28.6,21.8,14.1,22,22.4,204.8,81.2,123.5,39.7,227.5,153,"Forest",1,1,"Herbivore","Omnivore","Insessorial",-4.43,2.23,-1.9,131.24,148979.73,"Extant"
"12","Alisterus_chloropterus","Psittacidae","Psittaciformes","Alisterus_chloropterus",26.5,20.2,13.3,20.6,20.6,183.8,74.7,109.8,40.5,206.4,156,"Forest",1,1,"Herbivore","Omnivore","Insessorial",-10.73,-1.47,-5.43,142.23,323894.91,"Extant"
"13","Alisterus_scapularis","Psittacidae","Psittaciformes","Alisterus_scapularis",26,20.3,13.5,20.2,21.2,210.2,99.5,113.2,46.8,204.4,232.3,"Forest",1,1,"Herbivore","Omnivore","Insessorial",-39.48,-15,-29.51,149.3,811455.94,"Extant"
"14","Amazona_aestiva","Psittacidae","Psittaciformes","Amazona_aestiva",37.2,29,16.9,30,18.4,204.2,54,149.8,26.5,111.4,451,"Shrubland",2,1,"Herbivore","Frugivore","Insessorial",-32.55,-2.56,-17.01,-52.1,5857429.4,"Extant"
"15","Amazona_agilis","Psittacidae","Psittaciformes","Amazona_agilis",29.2,23.2,14.6,23.3,19.5,160,52,108,32.5,78,213,"Forest",1,1,"Herbivore","Omnivore","Insessorial",17.92,18.4,18.24,-77.54,2594.35,"Extant"
"16","Amazona_albifrons","Psittacidae","Psittaciformes","Amazona_albifrons",30.2,25.9,14.8,25.2,18,169.4,59.5,117,33.7,80.6,206,"Woodland",2,1,"Herbivore","Omnivore","Insessorial",9.55,27.8,17.92,-92.69,544425.16,"Extant"
"17","Amazona_amazonica","Psittacidae","Psittaciformes","Amazona_amazonica",37.1,29.6,18.4,29.1,21.4,202.2,56.9,144.8,28.2,99.2,370,"Forest",2,1,"Herbivore","Frugivore","Insessorial",-23.18,11.34,-5.01,-58.9,7377327.39,"Extant"
"18","Amazona_arausiaca","Psittacidae","Psittaciformes","Amazona_arausiaca",38,30.2,17.5,33.9,25.7,241.4,75.9,166.3,31.3,145.2,500,"Forest",1,1,"Herbivore","Frugivore","Insessorial",15.35,15.54,15.46,-61.38,73.86,"Extant"
"19","Amazona_auropalliata","Psittacidae","Psittaciformes","Amazona_auropalliata",42.6,34.8,19.4,36.7,25.1,205.6,63.6,136.9,31.8,126.7,476.9,"Woodland",2,1,"Herbivore","Omnivore","Insessorial",9.55,16.73,13.61,-87.61,128946.92,"Extant"
"20","Amazona_autumnalis","Psittacidae","Psittaciformes","Amazona_autumnalis",37.9,29.9,16.8,29.6,22.8,209.6,57.8,148.2,28.1,115.9,416,"Forest",2,1,"Herbivore","Frugivore","Insessorial",-3.82,23.83,11.45,-83.27,1002214.41,"Extant"
"21","Amazona_barbadensis","Psittacidae","Psittaciformes","Amazona_barbadensis",38.3,29.9,16.3,29.1,17.6,216.1,73.4,142.7,34,133.6,270,"Shrubland",2,1,"Herbivore","Omnivore","Insessorial",9.96,12.39,11.17,-67.94,4372.04,"Extant"
"22","Amazona_brasiliensis","Psittacidae","Psittaciformes","Amazona_brasiliensis",33.5,28.4,17.7,28.5,22.6,212.3,50.3,150.2,25,118.2,430,"Forest",1,1,"Herbivore","Omnivore","Insessorial",-25.96,-24.12,-25.12,-48.04,4747.02,"Extant"
"23","Amazona_collaria","Psittacidae","Psittaciformes","Amazona_collaria",33.1,26.7,16.3,27.2,20.1,178.2,61.1,117.2,34.2,100.2,187,"Forest",2,1,"Herbivore","Omnivore","Insessorial",17.93,18.42,18.18,-77.29,5429.01,"Extant"
"24","Amazona_dufresniana","Psittacidae","Psittaciformes","Amazona_dufresniana",40,32.4,18.7,32.2,24.2,203.5,62,141.6,30.4,103.8,623,"Forest",1,1,"Herbivore","Omnivore","Insessorial",2,7.48,4.82,-57,369976.5,"Extant"
"25","Amazona_farinosa","Psittacidae","Psittaciformes","Amazona_farinosa",43.3,35.7,20.4,36.2,26.9,241.9,69.3,173.1,28.6,134,626,"Forest",1,1,"Herbivore","Omnivore","Insessorial",-25.28,19.35,-2.59,-64.73,7159608.21,"Extant"
"26","Amazona_festiva","Psittacidae","Psittaciformes","Amazona_festiva",37.3,30,16.5,29.3,24,202.6,61,143,29.8,104.3,430,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-8.83,9.58,-1.03,-62.74,814389,"Extant"
"27","Amazona_finschi","Psittacidae","Psittaciformes","Amazona_finschi",35.4,28.7,18,31.9,21.2,192.4,69.8,121.7,36.5,109,302,"Woodland",2,1,"Herbivore","Omnivore","Insessorial",16.36,28.45,22.34,-104.94,111128.49,"Extant"
"28","Amazona_guildingii","Psittacidae","Psittaciformes","Amazona_guildingii",41.1,33.5,22.2,34.2,27.7,262.5,82.5,180,31.4,153.2,646,"Forest",1,1,"Herbivore","Omnivore","Insessorial",13.21,13.3,13.25,-61.2,43.1,"Extant"
"29","Amazona_imperialis","Psittacidae","Psittaciformes","Amazona_imperialis",44.8,37.8,20.8,34.4,31.4,282,79.1,202.9,28.1,167,529.5,"Forest",1,1,"Herbivore","Omnivore","Insessorial",15.28,15.54,15.47,-61.38,61.28,"Extant"
"30","Amazona_kawalli","Psittacidae","Psittaciformes","Amazona_kawalli",40.2,34.8,19.8,34,25.2,233.3,29.7,201.6,12.8,116.1,626,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-10.1,-1.62,-6.04,-61.12,812429.39,"Extant"
"31","Amazona_leucocephala","Psittacidae","Psittaciformes","Amazona_leucocephala",30.2,24.6,15.6,27.3,20.9,198.8,67,131.7,33.8,113.2,235.3,"Forest",2,1,"Herbivore","Omnivore","Insessorial",19.26,27.05,21.67,-78.72,31233.13,"Extant"
"32","Amazona_mercenaria","Psittacidae","Psittaciformes","Amazona_mercenaria",32.6,27,15.3,26.1,20.8,214,69.3,144.8,32.4,100.8,340,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-17.95,11.04,-3.41,-74.07,432626.42,"Extant"
"33","Amazona_ochrocephala","Psittacidae","Psittaciformes","Amazona_ochrocephala",38.3,32.6,19.7,32.9,22,212.9,60.8,154.8,28.3,116.5,476.9,"Forest",2,1,"Herbivore","Omnivore","Insessorial",-17.01,12.46,-1.78,-64.37,6626117.83,"Extant"
"34","Amazona_oratrix","Psittacidae","Psittaciformes","Amazona_oratrix",39.3,31.6,18.4,32.6,25.9,222.6,76.7,144.3,34.8,119.2,476.9,"Forest",2,1,"Herbivore","Omnivore","Insessorial",15.44,23.97,18.34,-93.37,48119.81,"Extant"
"35","Amazona_pretrei","Psittacidae","Psittaciformes","Amazona_pretrei",28.3,23.3,13.8,21.4,18.5,203.9,53.7,150.2,26.2,106.7,272.8,"Forest",2,1,"Herbivore","Omnivore","Insessorial",-30.96,-27.59,-28.85,-52.03,10426.1,"Extant"
"36","Amazona_rhodocorytha","Psittacidae","Psittaciformes","Amazona_rhodocorytha",37.6,29.4,18,31,22.3,210,62.6,146.7,29.9,115,474.3,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-23.23,-16.39,-20.95,-42.36,2672.56,"Extant"
"37","Amazona_tucumana","Psittacidae","Psittaciformes","Amazona_tucumana",27.8,20.4,14.8,22,20.2,196.8,75.9,120.9,38.5,106.8,260,"Forest",2,1,"Herbivore","Omnivore","Insessorial",-27.2,-18.48,-23,-64.39,69208.16,"Extant"
"38","Amazona_ventralis","Psittacidae","Psittaciformes","Amazona_ventralis",30.9,24.8,14.8,26.4,19.3,183.6,68.1,115.9,37,97.8,214,"Forest",2,1,"Herbivore","Omnivore","Insessorial",17.54,19.79,18.66,-70.93,7113.45,"Extant"
"39","Amazona_versicolor","Psittacidae","Psittaciformes","Amazona_versicolor",38.8,30.7,18.6,32.4,26.3,256.6,79.8,174.5,31.4,167.2,676,"Forest",1,1,"Herbivore","Omnivore","Insessorial",13.79,13.99,13.88,-60.97,142.22,"Extant"
"40","Amazona_vinacea","Psittacidae","Psittaciformes","Amazona_vinacea",33.5,24.6,16.2,26.7,21.5,214.2,67.3,145,31.6,121.8,254,"Forest",1,1,"Herbivore","Omnivore","Insessorial",-29.87,-15.07,-24.88,-47.86,105992.85,"Extant"
"41","Amazona_viridigenalis","Psittacidae","Psittaciformes","Amazona_viridigenalis",33.5,26.6,16.4,27.5,20.1,199,70.9,124.6,36.4,99.6,316,"Forest",2,1,"Herbivore","Omnivore","Insessorial",21.21,25.68,22.34,-99.08,7846.5,"Extant"
"42","Amazona_vittata","Psittacidae","Psittaciformes","Amazona_vittata",33.7,27,15.9,27.6,21.7,182.2,60.9,121.3,33.4,96.8,279.3,"Forest",1,1,"Herbivore","Omnivore","Insessorial",18.23,18.37,18.29,-65.93,177.43,"Extant"
"43","Amazona_xantholora","Psittacidae","Psittaciformes","Amazona_xantholora",30.6,23.9,14.2,25,19.2,165.2,69.2,102.3,40.3,71,217,"Woodland",2,1,"Herbivore","Frugivore","Insessorial",17.28,21.62,19.72,-89,131400.34,"Extant"
"44","Anodorhynchus_hyacinthinus","Psittacidae","Psittaciformes","Anodorhynchus_hyacinthinus",97.7,83.9,42.5,85.1,40.1,444,132.2,299.5,30.9,444.5,1331,"Forest",2,1,"Herbivore","Frugivore","Insessorial",-22.68,-1.18,-12.28,-52.74,536784.2,"Extant"
"45","Anodorhynchus_leari","Psittacidae","Psittaciformes","Anodorhynchus_leari",67.5,60.4,33.3,62,34.3,378.1,118.7,268.5,30.7,408.2,940,"Shrubland",2,1,"Herbivore","Frugivore","Insessorial",-10.58,-9.35,-10.08,-39.3,7546.2,"Extant"
"46","Aprosmictus_erythropterus","Psittacidae","Psittaciformes","Aprosmictus_erythropterus",23.6,17,12,17.1,20,190.2,87.2,104.5,45.5,140,136,"Forest",2,1,"Herbivore","Omnivore","Insessorial",-32.8,-7.17,-21.4,141.37,2743055.21,"Extant"
"47","Aprosmictus_jonquillaceus","Psittacidae","Psittaciformes","Aprosmictus_jonquillaceus",24.5,18.8,12.5,18.2,19.4,176.5,68,108.5,38.5,160.5,119,"Woodland",2,1,"Herbivore","Omnivore","Insessorial",-10.94,-7.56,-9.16,125.13,28185.23,"Extant"
